9 to 5,Icon,Female,Female,Female,Male,Female,Male,Male,Male,Female,Female,Male,Female,Female,Male,Female,Male,Backing
Comment,Cue #,"Violet
Kerry","Doralee
Hannah","Judy
Imogen","Hart
Nick","Roz
Danni","Joe
Daniel","Dwayne
Mike","Josh
William","Missy
Mary-Rose","Maria
Holly","Dick
Mark","Kathy
Eliza","Margaret
Laura","Bob/Detective
Ian","Candy Striper
Alex","Doctor
Stephen",Backing
Pg0,1,,,,,,,,,,,,,,,,,
Pg1,2,*,*,*,,*,*,*,*,*,*,*,*,*,*,*,,*
Pg7,3,*,,*,,,,,,,*,,*,,,,,
Pg9,4,*,,*,,*,*,*,*,*,*,*,*,*,*,*,,*
Pg13,5,*,,*,,,,,,,,,,*,,,,
Pg13,6,*,,*,,,,,,,,,,,,,,
Pg14,7,*,*,*,,,,,,,,,,,,,,
Pg14,8,*,,*,,*,*,*,*,*,*,*,*,*,*,*,,*
Pg15,9,,,,,,,,,,,,,,,,,
Pg16,10,*,,*,*,,,,,,,,,,,,,
Pg17,11,,*,,*,,,,,,,,,,,,,
Pg18,12,,*,,*,,,,,,,,,,,,,*
Pg20,13,,*,,*,,,,,,,,,,,,,
Pg20,14,,*,,*,,,,,*,,,,,,,,
Pg21,15,*,*,,*,,,,,*,,,,,,,,
Pg21,16,,,,*,,,,,*,,,,,,,,
Pg21,17,,,,*,,,,,,,,,,,,,*
Pg22,18,,,,,,,,,,,,,,,,,
Pg23,19,*,,,,,,,,,*,,*,*,,,,
Pg23,20,*,,,,,*,,,,*,,*,*,,,,
Pg23,21,*,,,,,*,,,,,,,*,,,,
Pg24,22,*,,,,,*,,,,,,,,,,,
Pg25,23,,,,,,,,,,,,,,,,,
Pg26,24,*,,*,*,,,,,,,,,,*,,,
Pg26,25,*,,*,,,,,,,,,,,,,,
Pg27,26,,,*,,,,,,,,,,,,,,
Pg27,27,,,*,,,,,,,,*,,,,,,
Pg28,28,*,*,,,,,*,*,,,,,,,,,
Pg30,29,*,*,*,,*,,,,*,*,,*,*,,*,,*
Pg32,30,,,,,,,,,,,,,,,,,
Pg33,31,*,,*,,,,,,,*,,,*,,,,
Pg33,32,*,,*,,,,,,,,,,*,,,,
Pg33,33,*,*,*,,,,,,,,,,*,,,,
Pg34,34,*,*,*,,,,,,,,,,,,,,
Pg34,35,,*,*,,,,,,,,,,,,,,
Pg35,36,,*,*,,*,,,,*,*,,*,*,,*,,*
Pg36,37,*,*,*,,*,,,,*,*,,*,*,,*,,*
Pg36,38,,*,,,*,,,,*,*,,*,*,,*,,*
Pg36,39,,,,,,,,,,,,,,,,,
Pg37,40,*,,,*,,,,*,,,*,,,*,,*,
Pg37,41,*,,,*,,,,,,,,,,,,,
Pg37,42,*,*,,*,,,,,,,,,,,,,
Pg38,43,,*,,*,,,,,,,,,,,,,
Pg39,44,,,,*,*,,,,,,,,,,,,
Pg39,45,,,,,*,,,,,,,,,,,,
Pg40,46,,,,,*,*,*,*,*,*,*,*,*,*,*,,*
Pg41,47,,,,*,*,*,*,*,*,*,*,*,*,*,*,,*
Pg42,48,,,,,*,*,*,*,*,*,*,*,*,*,*,,*
Pg42,49,,,,,,,,,,,,,,,,,
Pg43,50,*,*,,,,,,,,,,,,,,,
Pg43,51,*,*,*,,,,,,,,,,,,,,
Pg43,52,*,*,*,,,,,,,,,,*,,,,
Pg44,53,*,*,*,,,,,,,,,,,,,,
Pg45,54,*,*,*,,*,,,,,,,,,,,,
Pg45,55,,,,,,,,,,,,,,,,,
Pg46,56,*,*,*,,,,,,,,,,,,,,
Pg47,57,,,,,,,,,,,,,,,,,
Pg48,58,,,*,*,,,,,,,,,,,,,
Pg50,59,,,,,,,,,,,,,,,,,
Pg51,60,,*,,,,,,,,,,,,,,,
Pg51,61,,*,,*,,,,,,,,,,,,,
Pg52,62,,*,,*,*,*,*,*,*,,*,,*,,*,,*
Pg52,63,,,,,,,,,,,,,,,,,
Pg54,64,*,,,,*,*,,*,*,*,*,*,,*,,,*
Pg54,65,*,,,*,*,*,,*,*,*,*,*,,*,,,*
Pg56,66,*,,,,*,*,*,*,*,*,*,*,*,*,*,,*
Pg56,67,*,,,*,*,*,*,*,*,*,*,*,*,*,*,,*
Pg56,68,,,,,,,,,,,,,,,,,
Pg57,69,*,,,*,,*,,,,,,,,,,,
Pg57,70,*,,,,,*,,,,,,,,,,,
Pg58,71,*,,,*,,*,,,,,,,,,,,
Pg58,72,,,,*,,*,,,,,,,,,,,
Pg58,73,,,,*,*,,,,,,,,,,,,
Pg58,74,*,,,,*,,,,,,,,,,,,
Pg59,75,*,,,,,,,,,,,*,,,,,
Pg59,76,,,,,,,,,,,,,,,,,
Pg60,77,,*,*,,,,,,,,,,,,,,
Pg60,78,*,*,*,,,,,,,,,,,,,,
Pg61,79,,,,,*,,,,,,,,,,,,
Pg62,80,,,,*,*,,,,,,,,,,,,
Pg63,81,,,,,,,,,,,,,,,,,
Pg64,82,*,*,*,,,,,,,,,,,*,,,
Pg64,83,*,*,*,,,,,,,,,,,*,,*,
Pg64,84,*,*,*,,,,,,,,,,,,,,
Pg66,85,*,,,,,,,,,,,,,,,,
Pg66,86,*,,,,,,,,,,,,,,*,,
Pg67,87,*,*,*,,,,,,,,,,,,,,
Pg67,88,*,*,*,,,,,,,,,,,*,,,
Pg69,89,,,,,,,,,,,,,,,,,
Pg70,90,*,*,*,*,,,,,,,,,,,,,
Pg70,91,,*,,*,,,,,,,,,,,,,
Pg72,92,,*,*,*,,,,,,,,,,,,,
Pg72,93,,,*,*,,,,,,,,,,,,,
Pg73,94,*,*,*,*,,,,,,,,,,,,,
Pg76,95,,*,,,,,,,,,,,,,,,
Pg76,96,*,*,*,,*,,,,*,*,,*,*,,*,,*
Pg77,97,*,,,,*,,,,*,*,,*,*,,*,,*
Pg78,98,*,*,*,*,*,,,,*,*,,*,*,,*,,*
Pg79,99,,,,,,,,,,,,,,,,,
Pg80,99,,,,,,,,,,,,,,,,,
Pg80,100,*,*,*,,*,,,,,,,,,,,,
Pg80,101,*,*,*,,,,,,,,,,,,,,
Pg83,102,*,,,,*,*,*,*,*,*,*,*,*,*,*,,*
Pg86,103,,,,,,,,,,,,,,,,,
Pg87,104,,*,,,*,,,,,,,,,,,,
Pg87,105,,*,*,,*,,,,,,,,,,,,
Pg88,106,,,,,*,,,,,,,,,,,,
Pg88,107,,,,,,,,,,,,,,,,,
Pg89,108,*,*,*,,,,,,,,,*,*,,,,
Pg90,109,*,*,*,,,*,,,,,,*,*,,,,
Pg90,110,*,*,*,,,,,,,,,*,*,,,,
Pg90,111,*,*,*,,*,*,*,*,*,*,*,*,*,*,*,,*
Pg94,112,,*,*,,,,,,,,,,,,,,
Pg94,113,,*,,,,,,*,,,,,,,,,
Pg95,114,,*,,,,,,,,,,*,,,,,
Pg95,115,,*,,,,,*,,,,,*,,,,,
Pg95,116,,,,,,,,,,,,,,,,,
Pg96,117,*,*,,,,,,,,,,,,,,,
Pg96,118,*,*,,,,*,,,,,,,,,,,
Pg97,119,*,,,,,*,,,,,,,,,,,
Pg100,120,,,,,,,,,,,,,,,,,
Pg101,121,,,*,*,,,,,,,,,,,,,
Pg101,122,,,*,,,,,,,,*,,,,,,
Pg102,123,,,*,*,,,,,,,*,,,,,,
Pg102,124,,,*,,,,,,,,*,,,,,,
Pg103,125,,,*,,,,,,,,,,,,,,
Pg104,126,,,,,,,,,,,,,,,,,
Pg105,127,*,*,,,,*,,,,,,,,,,,
Pg105,128,*,*,*,*,,*,,,,,,,,,,,
Pg106,129,*,*,*,*,,*,,,,,,,*,,,,
Pg107,130,*,*,*,*,,*,,,,,,,,,,,
Pg107,131,*,*,*,*,*,*,,,,,,,,,,,
Pg108,132,,,,,,,,,,,,,,,,,
Pg109,133,*,*,*,*,*,*,,,,,,,,*,,Richard,
Pg114,134,*,*,*,,*,*,,,,,,,,,,Richard,
Pg114,135,*,*,*,,*,*,*,*,*,*,*,*,*,*,*,Richard,*
Pg115,136,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Richard,*
Pg115,137,*,*,*,,*,*,*,*,*,*,*,*,*,*,*,Richard,*
Pg116,138,,,,,,,,,,,,,,,,,
Pg117,139,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Richard,*
Pg118,140,,,,,,,,,,,,,,,,,
